0/   Common Name,1/   Latin Name,1b/  Genus,1c/  Cultivar (Y/N),1d/  Source,2/  Native Status Tier,3/  Native Status - Basis,22/  Native to (Level II Ecoregion),2/  Slug,3/  Drive Image ID,8/  Category,9/  Habit,10/  Flower,11/  Leaf,"12/  Height, Min (ft)","13/  Height, Max (ft)","14/  Spread, Min (ft)","15/  Spread, Max (ft)",4/  Light Req,5/  Water Req,6/  Soil Req,7/  Zone,24/  Drought Resistant,25/  Low Maintenance,52/  Shade Tolerance [USDA PLANTS],53/  Ellenberg-style L value (1-9) [where available],"50/  Coeff. of Conservatism C (0-10) [Chicago Region FQA, Swink&Wilhelm 1994]",51/  Coeff. of Wetness W (-5..+5) [Chicago Region FQA],16/  Bloom Color,17/  Bloom Time,18/  Fall Leaf Color,19/  Fall Color Time,20/  Attractive Seedhead Time,21/  Garden Attributes,23/  Context,28/  Growth Rate/Lifespan,27/  Summary Blurb,29/  Detailed Description,"30/  Maintenance, General","31/  Maintenance, Late Winter","32/  Maintenance, Early Spring","33/  Maintenance, Mid Spring","34/  Maintenance, Late Spring","35/  Maintenance, Early Summer","36/  Maintenance, Mid Summer","37/  Maintenance, Late Summer","38/  Maintenance, Early Fall","39/  Maintenance, Mid Fall","40/  Maintenance, Late Fall","41/  Maintenance, Winter","43/  [DOC] Pollinators Supported (documented, partial)","44/  [DOC] Pollinator Taxa Count (documented floor, not a census)",45/  [EST] CSR Strategy,46/  [EST] CSR Basis,47/  [REC] Companion - CSR-Matched,48/  [REC] Companion - Site-Matched (Soil/Water/Light),49/  [REC] Companion - Complementary Seasonal Interest,58/  Image - Spring (URL or Drive ID),59/  Image - Summer (URL or Drive ID),60/  Image - Fall (URL or Drive ID),61/  Image - Winter (URL or Drive ID)
Sombrero Adobe Orange Coneflower,Echinacea Sombrero Adobe Orange (Balsomador),Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Fiesta Orange Coneflower,Echinacea Sombrero Fiesta Orange,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Sombrero Flamenco Orange Coneflower,Echinacea Sombrero Flamenco Orange (Balsomenco),Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Sombrero Hot Coral Purple Coneflower,Echinacea Sombrero Hot Coral (Balsomcor),Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Sombrero Lemon Yellow Coneflower,Echinacea Sombrero Lemon Yellow (Balsomemyim),Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Sombrero Salsa Red Purple Coneflower,Echinacea Sombrero Salsa Red (Balsomsed),Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Tres Amigos Coneflower,Echinacea Sombrero Tres Amigos,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Tangerine Dream Coneflower,Echinacea Tangerine Dream,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato Soup Coneflower,Echinacea Tomato Soup,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Double Scoop Watermelon Deluxe Coneflower,Echinacea hybrida Double Scoop Watermelon Deluxe,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, rough-textured, green",2,4,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"coneflower, attracts butterflies and birds, drought-tolerant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Pale Coneflower,Echinacea pallida,Echinacea,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,upright clump,,fine,1.5,1.2,1.5,2.5,Full sun,average,"sand, loam, clay",3 to 8,TRUE,TRUE,Intolerant,,8,5,white,Early Summer,"tan to brown, seed heads ornamental",October to March,September to March,showy flowers,,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
White Coneflower,Echinacea purpurea Alba,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,fine,2,5,1.5,2,Full sun to part shade,average,"sand, loam, clay",3 to 8,TRUE,TRUE,Intolerant,,3,5,,Early Summer,"tan to brown, seed heads ornamental",October to March,September to March,showy flowers,,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Kims Knee High Coneflower,Echinacea purpurea Kims Knee High,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,fine,2,5,1.5,2,Full sun to part shade,average,"sand, loam, clay",3 to 8,TRUE,TRUE,Intolerant,,3,5,,Early Summer,"tan to brown, seed heads ornamental",October to March,September to March,showy flowers,,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Magnus Coneflower,Echinacea purpurea Magnus,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,fine,2,5,1.5,2,Full sun to part shade,average,"sand, loam, clay",3 to 8,TRUE,TRUE,Intolerant,,3,5,,Early Summer,"tan to brown, seed heads ornamental",October to March,September to March,showy flowers,,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Pica Bella Coneflower,Echinacea purpurea Pica Bella,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,fine,2,5,1.5,2,Full sun to part shade,average,"sand, loam, clay",3 to 8,TRUE,TRUE,Intolerant,,3,5,,Early Summer,"tan to brown, seed heads ornamental",October to March,September to March,showy flowers,,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
PowWow White Coneflower,Echinacea purpurea PowWow White,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,fine,2,5,1.5,2,Full sun to part shade,average,"sand, loam, clay",3 to 8,TRUE,TRUE,Intolerant,,3,5,,Early Summer,"tan to brown, seed heads ornamental",October to March,September to March,showy flowers,,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
PowWow Wildberry Coneflower,Echinacea purpurea PowWow Wildberry (PAS702917),Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,fine,2,5,1.5,2,Full sun to part shade,average,"sand, loam, clay",3 to 8,TRUE,TRUE,Intolerant,,3,5,,Early Summer,"tan to brown, seed heads ornamental",October to March,September to March,showy flowers,,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie Splendor Purple Coneflower,Echinacea purpurea Prairie Splendor,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,fine,2,5,1.5,2,Full sun to part shade,average,"sand, loam, clay",3 to 8,TRUE,TRUE,Intolerant,,3,5,,Early Summer,"tan to brown, seed heads ornamental",October to March,September to March,showy flowers,,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Ruby Star Cone Flower,Echinacea purpurea Ruby Star,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,fine,2,5,1.5,2,Full sun to part shade,average,"sand, loam, clay",3 to 8,TRUE,TRUE,Intolerant,,3,5,,Early Summer,"tan to brown, seed heads ornamental",October to March,September to March,showy flowers,,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Coneflower,Echinacea purpurea Virgin,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,fine,2,5,1.5,2,Full sun to part shade,average,"sand, loam, clay",3 to 8,TRUE,TRUE,Intolerant,,3,5,,Early Summer,"tan to brown, seed heads ornamental",October to March,September to March,showy flowers,,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
White Swan Coneflower,Echinacea purpurea White Swan,Echinacea,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,fine,2,5,1.5,2,Full sun to part shade,average,"sand, loam, clay",3 to 8,TRUE,TRUE,Intolerant,,3,5,,Early Summer,"tan to brown, seed heads ornamental",October to March,September to March,showy flowers,,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee Coneflower,Echinacea tennesseensis,Echinacea,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,upright clump,,"lanceolate, rough-textured, green",1.5,2,1.5,2.5,Full sun,Dry to medium,"average, well-drained",3 to 8,TRUE,TRUE,,,,,pink to magenta,June to August,"tan to brown, seed heads ornamental",October to March,September to March,"Tennessee coneflower, upswept petals, attracts butterflies",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Canada Wild Rye,Elymus canadensis,Elymus,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,grass,upright clump,,coarse,3,3.0,2,3,Full sun to part shade,average,"sand, loam, clay",3 to 8,,,Tolerant,,4,1,yellow,Late Spring,,,,"nodding seed heads, self-seeding prairie grass",,rapid growth; short-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Bottlebrush Grass,Elymus hystrix,Elymus,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,grass,,,"flat, medium green, slightly rough",2.5,4.5,2,3,Part shade to full shade,Medium,"average, medium, well-drained",3 to 8,,,,,,,,June to August,,,,"bottlebrush seed heads, woodland native grass",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Love Grass,Eragrostis spectabilis,Eragrostis,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,grass,fountain clump,,"fine, bright green, arching",1,1.5,1.5,2.5,Full sun,Dry to medium,"average to poor, well-drained",5 to 9,TRUE,TRUE,,,3,5,,August to September,,,August to October,"purple love grass, airy purple-pink haze in fall",,rapid growth; moderate-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Big Blue Sea Holly,Eryngium Big Blue,Eryngium,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"spiny, thistle-like, blue-green",1.5,3,1,2,Full sun,Dry to medium,"average to poor, well-drained",4 to 9,TRUE,TRUE,,,,,,July to September,,,,"sea holly, architectural thistle-like form, attracts bees",,slow growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie Moon Rattlesnake Master,Eryngium yuccifolium Prairie Moon,Eryngium,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"spiny, thistle-like, blue-green",3,5,1,2,Full sun,Dry to medium,"average to poor, well-drained",4 to 9,TRUE,TRUE,,,9,-1,,July to August,,,,"rattlesnake master, native prairie, architectural",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Manhattan Spreading Euonymus,Euonymus kiautschovica Manhattan,Euonymus,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate, opposite, leathery",8,12,6,10,Full sun to part shade,Medium,"average, medium, well-drained",5 to 9,,,,,,,,,red to orange,October to November,,"euonymus, evergreen groundcover or shrub, fall color",,moderate growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Baby Joe Joe-Pye Weed,Eupatorium dubium Baby Joe,Eupatorium,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"opposite to whorled, lanceolate",3,5,2,3,Full sun to part shade,Medium to wet,moist to wet,3 to 8,,TRUE,,,,,,July to September,tan,October to November,October to November,attracts butterflies,,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Little Joe Joe-Pye Weed,Eupatorium dubium Little Joe,Eupatorium,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"opposite to whorled, lanceolate",3,5,2,3,Full sun to part shade,Medium to wet,moist to wet,3 to 8,,TRUE,,,,,,July to September,tan,October to November,October to November,attracts butterflies,,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Spotted Joe Pye Weed,Eupatorium maculatum,Eupatorium,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,upright clump,,coarse,4,6.0,2,3,Full sun to part shade,moist,"loam, clay",3 to 7,,TRUE,Intermediate,,4,-5,purple,Summer,tan,October to November,October to November,showy flowers,,rapid growth; moderate-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Gateway Spotted Joe Pye Weed,Eupatorium maculatum Gateway,Eupatorium,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,coarse,4,7,2,3,Full sun to part shade,moist,"loam, clay",3 to 7,,TRUE,Intermediate,,4,-5,,Summer,tan,October to November,October to November,showy flowers,,rapid growth; moderate-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Phantom Joe Pye Weed,Eupatorium maculatum Phantom,Eupatorium,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,coarse,4,7,2,3,Full sun to part shade,moist,"loam, clay",3 to 7,,TRUE,Intermediate,,4,-5,,Summer,tan,October to November,October to November,showy flowers,,rapid growth; moderate-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Common Boneset,Eupatorium perfoliatum,Eupatorium,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,upright clump,,"opposite to whorled, lanceolate",2,4,2,3,Full sun to part shade,Medium to wet,moist to wet,3 to 8,,TRUE,,,4,-4,white,August to September,tan,October to November,October to November,"boneset, rain garden, attracts butterflies and native bees",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
